,seg_name,homogeneity,home_seg,count_games,win_games,win_ratio,Archer_Queen,Archers,Arrows,Baby_Dragon,Balloon,Bandit,Barbarian_Barrel,Barbarian_Hut,Barbarians,Bats,Battle_Healer,Battle_Ram,Bomb_Tower,Bomber,Bowler,Cannon,Cannon_Cart,Clone,Dark_Prince,Dart_Goblin,Earthquake,Electro_Dragon,Electro_Giant,Electro_Spirit,Electro_Wizard,Elite_Barbarians,Elixir_Collector,Elixir_Golem,Executioner,Fire_Spirit,Fireball,Firecracker,Fisherman,Flying_Machine,Freeze,Furnace,Giant,Giant_Skeleton,Giant_Snowball,Goblin_Barrel,Goblin_Cage,Goblin_Drill,Goblin_Gang,Goblin_Giant,Goblin_Hut,Goblins,Golden_Knight,Golem,Graveyard,Guards,Heal_Spirit,Hog_Rider,Hunter,Ice_Golem,Ice_Spirit,Ice_Wizard,Inferno_Dragon,Inferno_Tower,Knight,Lava_Hound,Lightning,Lumberjack,Magic_Archer,Mega_Knight,Mega_Minion,Mighty_Miner,Miner,Mini_P_E_K_K_A,Minion_Horde,Minions,Mirror,Mortar,Mother_Witch,Musketeer,Night_Witch,P_E_K_K_A,Poison,Prince,Princess,Rage,Ram_Rider,Rascals,Rocket,Royal_Delivery,Royal_Ghost,Royal_Giant,Royal_Hogs,Royal_Recruits,Skeleton_Army,Skeleton_Barrel,Skeleton_Dragons,Skeleton_King,Skeletons,Sparky,Spear_Goblins,Super_Witch,Tesla,The_Log,Three_Musketeers,Tombstone,Tornado,Valkyrie,Wall_Breakers,Witch,Wizard,X-Bow,Zap,Zappies,home_elixr
0,001 3.8   23.5%  Undefined: Mega_Knight           ,23.5,1,906984.0,519844.0,0.5731567480793487,0.044914794527797626,0.042291815511629756,0.25701114903901284,0.10722791140747798,0.10512313337390737,0.09791683204995899,0.10293125347304914,0.006218411791167209,0.04915522214283824,0.15877126829139213,0.014714702795198152,0.02031788873894137,0.02127931694495162,0.05766694892081889,0.03764785266333254,0.04951465516480996,0.04430838912263061,0.023586965150432643,0.1013391636456652,0.08616469529782224,0.037376624063930566,0.032433868734178334,0.0641885634145696,0.05208471152743598,0.17087732528909,0.09516816173162923,0.03194212907835199,0.021080856994169686,0.041157286126326374,0.057749640566978025,0.238680064918455,0.09027722650013671,0.038092182442027646,0.046530038016106126,0.05394361973309342,0.07198473181445318,0.060466336782126255,0.10387063057341694,0.03396862568689194,0.14073346387587873,0.033647782099794486,0.029464687359424202,0.07976987466151553,0.019902225397581436,0.03167641325536062,0.00921184938212802,0.05674852037081139,0.049588526368712124,0.055088072115935895,0.06949516198742205,0.021844927804680128,0.20106528891358613,0.03879781782258562,0.029659839644359767,0.04189489561006589,0.03987611688850079,0.1202358586259515,0.08620990006438922,0.06648408351194729,0.03809659266315613,0.12701216338987237,0.07455919839820768,0.059791572949467686,0.1730780256322052,0.09566761927443042,0.009891023435915077,0.09789147327847018,0.1722698526104099,0.07166168311679147,0.0824082894516331,0.11645078634242721,0.03488043890520671,0.04803171831035608,0.09736555440889806,0.0584144814020975,0.09736114418776957,0.07739386802854295,0.0570870048424228,0.07172783643371879,0.07192078360809011,0.03387380593262946,0.01364522417153996,0.07310492798108897,0.022381872227073465,0.04536243197233909,0.05011003501715576,0.03164774681802546,0.014956162401982836,0.20904999426671253,0.07772463461317951,0.016605585104037115,0.029925555467351133,0.11746623975726143,0.054605152902366526,0.03203143605620386,0.0,0.08284931156448185,0.3047198186517072,0.01827485380116959,0.06325580164589452,0.1671936880915209,0.2463560547925873,0.0386754341862701,0.11405493371437644,0.12061182997715506,0.014959470067829201,0.2538159438314237,0.028410644509715716,3.7514573024441447
1,002 2.6   99.7%  Fireball Hog_Rider Musketeer     ,99.7,2,37589.0,21760.0,0.5788927611801324,0.004203357365186624,2.660352762776344e-05,0.00042565644204421504,0.0,0.0,0.00015962116576658065,0.0,0.0,0.0,0.00037244938678868817,0.0,0.0,0.0,0.0,2.660352762776344e-05,0.994040809811381,0.0,0.0,5.320705525552688e-05,0.0,0.00023943174864987098,0.0,0.0008247093564606667,0.0,7.981058288329032e-05,0.00021282822102210752,0.0,0.0,2.660352762776344e-05,0.0,1.0,0.001090744632738301,0.0,0.0005852776078107957,0.0,0.0,0.0,0.0,0.0011173481603660646,0.00034584585916092476,0.0,2.660352762776344e-05,0.00015962116576658065,0.0,0.0,0.0010641411051105377,0.0,0.0,7.981058288329032e-05,0.0024475245417542365,0.0,0.9978185107345234,0.00015962116576658065,1.0,1.0,2.660352762776344e-05,0.0,0.00039905291441645163,0.0,0.00021282822102210752,0.0,0.0,0.0,0.00015962116576658065,0.00015962116576658065,0.0,0.0,0.00029263880390539783,0.0,0.0,0.0006118811354385591,5.320705525552688e-05,0.0,0.9933757216206869,0.0,0.00018622469339434408,0.0,0.0,0.0,0.0,0.0003192423315331613,0.0,0.0,5.320705525552688e-05,0.0,0.0002660352762776344,0.0,0.0,0.0012237622708771182,0.0,0.0,0.0,0.992923461651015,0.0,2.660352762776344e-05,0.0,0.005001463194019527,0.9973662507648514,0.0,2.660352762776344e-05,0.0010641411051105377,2.660352762776344e-05,0.0,0.0,0.00039905291441645163,0.00015962116576658065,7.981058288329032e-05,0.0,2.6284750857963766
2,003 3.9   98.5%  Magic_Archer Electro_Wizard P_E_K_K_A,98.5,3,16452.0,9832.0,0.5976173109652322,0.0020058351568198397,0.00012156576707999027,0.014162411864818867,0.0004862630683199611,0.00012156576707999027,0.9950765864332604,0.005288110867979577,0.0,0.0004862630683199611,0.0006078288353999514,0.0,0.9843180160466812,0.00042548018477996596,0.0,0.0,0.0010333090201799172,0.0,0.0,0.0006686117189399465,0.0009117432530999271,0.0019450522732798443,6.0782883539995136e-05,0.0,0.0,0.9942864089472404,0.00224896669097982,0.0,0.0,0.00042548018477996596,0.00012156576707999027,0.9533187454412837,0.0004862630683199611,0.0029175784099197666,6.0782883539995136e-05,0.0003039144176999757,0.00018234865061998541,0.0,0.0008509603695599319,0.004133236080719669,0.0034038414782397277,0.003039144176999757,0.004680282032579626,0.0,0.0,0.0,0.0,0.0007901774860199367,0.0,0.0,0.002552881108679796,0.0,0.0,0.0,0.0,0.0013980063214198881,0.0,6.0782883539995136e-05,0.001276440554339898,0.0010333090201799172,0.0,0.009299781181619256,0.0006686117189399465,0.9950158035497204,6.0782883539995136e-05,0.00042548018477996596,0.00024313153415998054,0.00018234865061998541,0.002188183807439825,0.0,0.0011548747872599076,0.0019450522732798443,0.0,0.0028567955263797714,0.0026136639922197907,0.0,0.9980549477267202,0.0,0.00024313153415998054,0.0,0.0006686117189399465,0.0,0.0,0.0,0.00042548018477996596,0.9901531728665208,0.00012156576707999027,0.001337223437879893,0.0005470459518599562,0.0,0.0013980063214198881,0.003099927060539752,0.0,0.0,0.00024313153415998054,0.0,0.0,0.0009117432530999271,0.002735229759299781,0.0,0.0,0.02048383175297836,0.0029175784099197666,0.00012156576707999027,0.0003039144176999757,0.0009117432530999271,0.0,0.9733770970094822,0.0,3.87557743739363
3,004 3.4   99.5%  Valkyrie Rocket Inferno_Tower    ,99.5,4,11854.0,6762.0,0.5704403576851695,0.0,0.0,0.004133625780327316,0.0,0.0,0.0,0.00025307912940779483,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004217985490129914,0.0006748776784207862,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.008267251560654632,0.0019402733254597604,0.0004217985490129914,0.0,0.0,0.0,0.0,0.0,0.0009279568078285811,0.0010123165176311793,0.9966256116078961,0.0,0.002108992745064957,8.435970980259827e-05,0.0,0.0,0.0,0.00927956807828581,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0016028344862493674,0.0,0.0,0.9997469208705922,0.0,0.0,0.0007592373882233845,0.0,0.00016871941960519654,0.0,0.0,0.0053990214273662894,0.00016871941960519654,0.0,0.0,0.0,0.00016871941960519654,0.0,0.0,0.0,0.0,0.0,0.00016871941960519654,0.0,0.9994094820313818,0.0,0.0,0.0,0.9964568921882909,0.0,0.0,0.0,0.0,0.0,0.0,0.0010966762274337775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9842247342669141,0.0,0.0,0.0,0.9842247342669141,0.0,0.0,0.0,0.0,0.00025307912940779483,0.0,3.373956048591193
4,005 3.3   97.6%  Knight Rocket Inferno_Tower      ,97.6,5,10218.0,5976.0,0.5848502642395772,0.0,0.0017615971814445098,0.017420238794284598,0.00019573302016050108,9.786651008025054e-05,0.0015658641612840086,0.00039146604032100216,0.0,0.0,0.0031317283225680173,0.0,0.0,0.0,0.0,0.0017615971814445098,0.0022509297318457624,0.0,0.0,0.0,0.03131728322568017,0.0,0.0,0.0,0.0,0.0002935995302407516,0.00039146604032100216,0.0,0.0,0.00019573302016050108,0.015854374633000587,0.008514386376981797,0.01066744959874731,0.0,0.0,0.0,0.0005871990604815032,0.0,0.0013701311411235075,0.0015658641612840086,0.998042669798395,0.0,9.786651008025054e-05,0.9948130749657467,0.0,0.0002935995302407516,0.0,0.0,0.0,0.0,0.00019573302016050108,0.0,0.010080250538265806,0.0,0.0032295948326482677,0.8762967312585633,0.0028381287923272655,0.0,0.995302407516148,1.0,0.0,0.0,0.0,0.0,0.0037189273830495204,0.0011743981209630064,0.0011743981209630064,0.002544529262086514,0.0,0.003033861812487767,0.0,0.0,0.0,0.00019573302016050108,0.0009786651008025053,0.0,0.0,0.002544529262086514,0.0,0.9866901546290859,0.0,0.0,0.004403992953611274,0.9792522998629869,0.002153063221765512,0.0,0.0008807985907222549,0.0,0.0,0.020551967116852612,0.006948522215697788,0.0,0.0,0.0022509297318457624,0.0,0.0092973184576238,0.0,0.0,0.9816010961049129,0.0,0.0018594636915247602,0.0026423957721667646,9.786651008025054e-05,0.0004893325504012527,0.0,0.00039146604032100216,0.0,0.004599725973771776,0.0,3.275396359365825
5,006 4.1   93.9%  Balloon Fireball Lava_Hound      ,93.9,6,8643.0,4991.0,0.5774615295614949,0.00046280226773111186,0.0,0.0019669096378572256,0.011917158394076132,0.99583477959042,0.0,0.0,0.0,0.5920398009950248,0.0015041073701261135,0.0,0.0,0.00011570056693277797,0.0,0.0,0.0003471017007983339,0.0003471017007983339,0.0,0.00046280226773111186,0.0,0.0,0.00011570056693277797,0.0,0.0,0.0013884068031933356,0.0021983107717227814,0.0,0.0,0.00011570056693277797,0.0,0.9873886382043272,0.0003471017007983339,0.0005785028346638898,0.004165220409580007,0.0,0.0,0.0,0.0032396158741177833,0.0,0.0,0.0018512090709244474,0.0,0.0031239153071850054,0.0,0.00023140113386555593,0.0,0.0026611130394538934,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02556982529214393,0.0,0.0017355085039916696,0.9998842994330672,0.0016198079370588917,0.004280920976512785,0.0,0.0,0.9717690616684022,0.12518801342126576,0.004049519842647229,0.0005785028346638898,0.0,0.00046280226773111186,0.0,0.0,0.0,0.0,0.00011570056693277797,0.003008214740252227,0.008677542519958347,0.0,0.0,0.0,0.0,0.0,0.00011570056693277797,0.0,0.0,0.0,0.0,0.0,0.008099039685294457,0.0,0.9816036098576884,0.0027768136063866713,0.0,0.0,0.00046280226773111186,0.0,0.0,0.0012727062362605577,0.00011570056693277797,0.9895869489760499,0.003586717574916117,0.2580122642600949,0.0,0.0,0.0,0.0,0.9950248756218906,0.0,4.078821011222955
6,007 4.0   98.4%  Bowler Electro_Dragon Balloon    ,98.4,7,8596.0,5121.0,0.595742205677059,0.0010469986040018613,0.0,0.00849232201023732,0.021870637505816658,0.9990693345742205,0.0,0.9336900884132154,0.0,0.0,0.00023266635644485808,0.00011633317822242904,0.0,0.0013959981386691485,0.0,0.9947650069799907,0.0,0.0,0.0,0.0,0.0,0.003955328059562588,0.9998836668217775,0.0,0.0011633317822242904,0.0,0.0,0.0,0.0005816658911121452,0.0,0.0,0.0,0.003024662633783155,0.0,0.0,0.9986040018613308,0.0,0.0,0.005700325732899023,0.00011633317822242904,0.0,0.006979990693345742,0.0,0.0,0.0,0.0,0.0,0.0003489995346672871,0.0,0.0,0.003955328059562588,0.0,0.0003489995346672871,0.0,0.0012796649604467194,0.0,0.00046533271288971617,0.9640530479292694,0.003489995346672871,0.0,0.0,0.00023266635644485808,0.9954630060493252,0.00011633317822242904,0.00011633317822242904,0.007445323406235459,0.0015123313168915774,0.0,0.00011633317822242904,0.0,0.0,0.00837598883201489,0.0,0.0,0.0017449976733364355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005816658911121452,0.0005816658911121452,0.00011633317822242904,0.0,0.0,0.0,0.005118659841786877,0.0,0.0,0.0,0.004304327594229875,0.0,0.0,0.0,0.005234993020009307,0.02070730572359237,0.00011633317822242904,0.0,0.9883666821777571,0.0017449976733364355,0.0010469986040018613,0.0,0.0,0.0,0.002326663564448581,0.0,4.002675663099116
7,008 2.9   99.4%  Cannon Royal_Hogs Archer_Queen   ,99.4,8,8240.0,4851.0,0.5887135922330097,1.0,0.0,0.0006067961165048543,0.0,0.0,0.0,0.00036407766990291263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9599514563106796,0.0,0.00024271844660194174,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.017839805825242718,0.0,0.0,0.00012135922330097087,0.0,0.0,0.0,0.0,0.000970873786407767,0.00012135922330097087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002669902912621359,0.0,0.0,0.0,0.0,0.0,0.00024271844660194174,0.00036407766990291263,0.0,0.0,0.0,0.0,0.00024271844660194174,0.0,0.0,0.0,0.015533980582524271,0.0,0.0,0.0,0.0007281553398058253,0.0,0.003883495145631068,0.9923543689320389,0.0,0.00024271844660194174,0.9986650485436893,0.00424757281553398,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.9979368932038835,0.0,0.0,0.00012135922330097087,0.0023058252427184465,0.0,0.0,0.0,0.0,0.00024271844660194174,0.0,2.8841626213592235
8,009 3.0   99.8%  Fireball Tesla X-Bow             ,99.8,9,7917.0,4625.0,0.5841859290135152,0.0,1.0,0.00012631047113805733,0.0,0.0,0.0,0.0,0.0,0.0,0.00025262094227611467,0.0,0.0,0.0,0.0,0.00012631047113805733,0.00025262094227611467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012631047113805733,0.0,0.0,0.0,0.0,0.0,0.0006315523556902868,0.9998736895288619,0.0,0.0,0.0,0.0,0.0,0.0,0.00012631047113805733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023998989516230895,0.0,0.0,0.0,0.003284072249589491,0.0,0.0,0.0,0.0,1.0,0.00012631047113805733,0.0,0.002526209422761147,1.0,0.0,0.0,0.0,0.0,0.0,0.00012631047113805733,0.0,0.00037893141341417203,0.0,0.0,0.0,0.0023998989516230895,0.0008841732979664014,0.0,0.00012631047113805733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00012631047113805733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9909056460780599,0.0,0.0,0.0,0.9970948591638247,0.9988632057597575,0.0,0.0,0.00012631047113805733,0.0,0.0,0.0,0.0,0.9986105848174813,0.0005052418845522293,0.0,3.000868384489074
9,010 4.2   93.6%  Goblin_Cage Lightning Electro_Giant,93.6,10,7755.0,4614.0,0.5949709864603482,0.0009026434558349452,0.0,0.006060606060606061,0.0001289490651192779,0.0,0.0010315925209542231,0.08768536428110896,0.0,0.0001289490651192779,0.0006447453255963894,0.0,0.0,0.0,0.9444229529335912,0.0010315925209542231,0.0,0.004513217279174726,0.0,0.9290780141843972,0.002192134107027724,0.0,0.003223726627981947,0.9990973565441651,0.02372662798194713,0.014700193423597678,0.0027079303675048355,0.0016763378465506126,0.0,0.0007736943907156673,0.0065764023210831725,0.0016763378465506126,0.009026434558349452,0.016376531270148292,0.0018052869116698903,0.0,0.0,0.0,0.003223726627981947,0.00038684719535783365,0.0,0.9972920696324952,0.0,0.0,0.0,0.0,0.0002578981302385558,0.03636363636363636,0.0001289490651192779,0.0001289490651192779,0.0038684719535783366,0.0,0.0,0.0010315925209542231,0.0,0.003481624758220503,0.0070921985815602835,0.968407479045777,0.0,0.0,0.0,0.996260477111541,0.0007736943907156673,0.005931656995486783,0.0029658284977433914,0.011992263056092843,0.0,0.0019342359767891683,0.006189555125725338,0.0,0.009542230818826564,0.008123791102514507,0.0,0.6585428755641521,0.0,0.01096067053513862,0.0,0.0001289490651192779,0.0023210831721470018,0.0,0.0,0.0,0.0,0.00038684719535783365,0.0,0.0,0.0007736943907156673,0.0,0.0,0.0036105738233397806,0.0,0.0002578981302385558,0.0,0.1771760154738878,0.0001289490651192779,0.0011605415860735009,0.0,0.0011605415860735009,0.0,0.0,0.0,0.9938104448742746,0.009284332688588007,0.0,0.012121212121212121,0.0025789813023855577,0.0,0.00038684719535783365,0.0006447453255963894,4.15536750483559
